,index,comment,label
42,42,máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,"tensor([-1., -1., -1.,  1., -1.,  1., -1., -1., -1., -1.])"
43,43,sau 1 tuần sử dụng thì mình đánh giá như sau về camera thì thấy cũng bình thường cam truớc không được tốt lắm cấu hình không bằng con vsmart 5tr máy đẹp nhẹ mỏng pin cũng tạm mỗi ngày sạc pin 1 lần bạn nào mua vì màn đẹp với camera thì nên mua còn mua để chơi game thì không nên lựa,"tensor([ 2.,  2.,  0., -1., -1.,  1., -1.,  0., -1., -1.])"
44,44,sản phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la không có tai nghe có đúng vậy không ạ,"tensor([-1., -1., -1., -1., -1., -1., -1., -1., -1., -1.])"
45,45,sản phẩm đẹp tuyệt vời hi vọng trong qtrinh sử dụng không xảy ra lỗi nv nhiệt tình ms,"tensor([-1., -1.,  0., -1., -1., -1., -1., -1.,  0., -1.])"
46,46,mua lâu rồi vân tay quá kém dí mãi mới mở  được  chơi game vd liên quân thì cảm ứng không nhạy rất kém máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý  ko phải do mạng hay fpslúc chơi   loa ngoài chơi game khá nhỏ nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì  được ,"tensor([-1., -1.,  0.,  1., -1.,  1., -1., -1., -1., -1.])"
47,47,máy rất okmượtchơi game quá đỉnhcó đều pin hơi tụt nhưng cho là okvừa với túi tiền ok,"tensor([ 2., -1., -1., -1.,  1.,  0.,  0., -1., -1., -1.])"
48,48,note10  bin rất tệ máy không xài vẫn tuột phần trăm vừa sạt đầy 100 pin để đó không xài từ ság tới tối về nhìn lại còn 40 vậy 60 pin kia không làm dì mà sao mất nhỉ máy mua  được  1 tuần rồi pin rất tệ,"tensor([ 1., -1., -1., -1., -1., -1., -1., -1., -1., -1.])"
49,49,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật sử dụng rất mờ so với điện thoại khác bật sd,"tensor([-1., -1., -1., -1., -1.,  0., -1.,  1., -1., -1.])"
50,50,"máy rất xịn 
thứ nhất  chơi game mượt với chíp snap
thứ hai  pin trâu xài cả ngày mà còn 50 
thư ba  màn hình đẹp chụp hình sáng","tensor([ 0.,  0., -1., -1.,  0.,  0., -1.,  0., -1., -1.])"
51,51, sản phẩm  tuyệt vời chắt mua em nó quá vì chán hàng made in china rồi người việt dùng hàng việt,"tensor([-1., -1., -1., -1.,  0., -1., -1., -1.,  0., -1.])"
52,52,mình mới mua hồi chiều minh vo cài đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy,"tensor([-1., -1., -1., -1., -1., -1., -1., -1., -1., -1.])"
53,53,mọi thứ xài thì khá ok chỉ có pin tuột nhanh kinh khủng không xài cũng tuột 100 chực được 5p là còn 95 ý là không chưa game đó,"tensor([ 1., -1., -1., -1.,  0., -1., -1., -1., -1., -1.])"
54,54,thấy mọi người đánh giá nhiều lỗi nhưng đó là do phần mềm lúc các bạn đó mua máy là phần mềm chưa cập nhật mình mua máy được một tháng và dùng rất ok không một lỗi nào vì xiaomi đã update phần mềm fix lỗi hết rồi các bạn yên tâm mua nhé ,"tensor([-1., -1., -1., -1.,  0.,  0., -1., -1., -1., -1.])"
55,55,dùng tạm tạm  camera quá tệ  phần mềm thì cài các ứng dụng mặc định như vinid mua sắmquá nhiều  mua điện thoại để dùng cá nhân chứ không phải mua điện thoại để vinmart quảng cáo  giá rẻ không đáng bỏ tiền mua,"tensor([-1.,  1., -1., -1.,  1.,  1.,  2., -1.,  1., -1.])"
56,56,máy mượt pin trâu nhưng xạc pin mà nó cứ ấm ấm z có nguy hiểm không ad ngoài ra thì rất tốt,"tensor([ 2., -1., -1., -1.,  0.,  0., -1., -1., -1., -1.])"
57,57,cho emhỏi máy mua được một năm rồi nhưng dạo gần đây pin hay tụt nhanh lắmgiúp em cách khác phục với,"tensor([ 1., -1., -1., -1., -1., -1., -1., -1., -1., -1.])"
58,58,sản phẩm xài tốt 2 tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và call ò duty mobile đều max seettings không gật lag nào hết,"tensor([-1., -1., -1., -1.,  0.,  0., -1., -1., -1., -1.])"
59,59,mới mua  được  15 ngày xài tạm ổn nhưng pin tụt nhanh máy sạc bị nóngmới mua mà chưa gì máy đã bị nóng còn lại ổn,"tensor([ 1., -1., -1., -1.,  0., -1., -1., -1., -1., -1.])"
60,60,"pin sạc 3 tiếng từ 15100 pin trâu
camera chụp hình khá đẹp trong điều kiện sáng tốt có chế độ chụp cảnh buổi tối khá tốt
cảm biến vân tay rất nhạy
những thao tác xem phim nghe nhạc lướt web đều mượt
quay phim chống rung tốt
loa vừa đủ nghe ấm
màn hình hiển thì rất nét mình không biết là do rổ hay gì
đây là những đánh giá sau 2 ngày mình sử dụng đây là điện thoại tốt trong tầm giá trên 3 triệu không nên đòi hỏi nhiều về game hay những thao tác nặng hơn","tensor([ 0.,  0., -1.,  0.,  0., -1.,  2.,  0., -1., -1.])"
61,61, tốt  máy dùng mượt pin thì hơi kém tí nói chung ok nhân viên nhiệt tình  cám ơn  thế giới di động,"tensor([ 1., -1., -1., -1.,  0.,  0., -1., -1.,  0., -1.])"
62,62,quá thất vọng mời mua 2 ngày mà xài cảm giác quá tệ luôn thua cả con j7pro mua năm 2017 pin thì nhanh hết chỉ vào zalo facebook thôi xài 1 buổi bình thường mà hết 50 pin còn bắt sóng wifi 3g kém  chất  zalo có nhiều lúc không nhận được tin hoặc lâu mới nhận được còn kiểu dáng camera tốc độ thì ok đề nghị samsung xem lại!,"tensor([ 1.,  0.,  0.,  1.,  1.,  0., -1., -1., -1., -1.])"
63,63,sản phẩm rất tốt chơi game rất tốt  pin trâu  mỗi tội ứng dụng của máy dính quảng cáo quá nhiều  trong phần cài đặt cũng có quảng cáo của gg chèn vào ,"tensor([ 0., -1., -1., -1.,  0.,  2., -1., -1., -1., -1.])"
64,64,sai lầm khi mua đt này ghê ă nghe nv tư vấn xoq mua lun về xem lại cấu hình mới thấy chán tầm giá này mà màn hình chỉ mức hd  sử sụng chip rất yếu chơi game thì giật liên tục,"tensor([-1., -1., -1., -1.,  1.,  1.,  2.,  1., -1., -1.])"
65,65,mình mới mua chiếc điện 3 gb chiếc màu tím  với mức giá như thế này thì các bạn nên mua một chiếc cho bản thân  chơi game mượt loa tốt wifi ổn các tác vụ bình thường thì ok,"tensor([-1., -1., -1.,  0.,  0.,  0., -1., -1., -1., -1.])"
66,66,thiết kế đẹp so với giá thành thì chất lượng cực ổn mình đi du lịch cầm con này theo selfie rất ưng ý,"tensor([-1.,  0.,  0., -1.,  0., -1.,  2., -1., -1., -1.])"
67,67,sao mình sài  được  1 tháng thì bị hư lỗ cắm tai nghe và khi gọi cho người khác thì màn hình bị tắt,"tensor([-1., -1.,  1.,  2., -1., -1., -1., -1., -1., -1.])"
68,68,mua máy  được  1 tuần đối với 6 triệu thì máy quá ok  mọi thứ đều hoạt động mượt mà đặc biệt pin trâu xài 2 ngày mới cần sạc pin lại mình dùng toàn 3g không dùng wifi ít chơi game chỉ facebook zalo youtube thỉnh thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà không hết  được  xứng đáng số tiền bỏ ra,"tensor([ 0., -1., -1., -1.,  0.,  0.,  0., -1., -1., -1.])"
69,69,điện thoại khi tin nhắn tới lâu lâu sẽ nghe nó bị rè rè  âm thâm tin nhắn như bị đè nén đi,"tensor([-1., -1., -1.,  1., -1., -1., -1., -1., -1., -1.])"
70,70,ứng dụng văn phòng rất chán đặc biệt ng sử dunbj email làm việc như mình còn chơi game với lướt web thì chấp nhận  được  pin khoẻ,"tensor([ 0., -1., -1., -1., -1.,  1., -1., -1., -1., -1.])"
71,71,khá ok ngon về mọi thứ màn mượtpin khỏe  sạc maxx sướngcảm giác phê lòi hơn hẳn ss về mọi mặthehe,"tensor([ 0., -1., -1.,  0.,  0., -1., -1., -1.,  0., -1.])"
72,72,hên ghê lúc mua em này được giảm 700k giá ưu đãi 2tr990 mua 2 ốp lưng giá 90kthêm khách hàng thân thiết giảm thêm 150k nữa nên tậu luôn cái tai phone nói gì nói chứ thấy máy chạy mượt mà sao nhiều bạn lại chê mình không chơi game nên như vậy là quá ok rồi nhân viên nhiệt tìnhvui vẻ,"tensor([-1., -1., -1., -1.,  0.,  0.,  0., -1.,  0., -1.])"
73,73,mới mua cách đay mấy ngày thật sự rất tệ load hình quá chậm và nhảy màn hinhloa nghe nhạc qua nhỏ,"tensor([-1., -1., -1.,  1.,  1.,  1., -1., -1., -1., -1.])"
74,74,máy dùng tạm được đang dùng quen ip sáng máy này thì không ưng về cảm ứng và chất lượng video xem nhiều gây nhức mắt được cái pin khoẻ dùng cả buổi sáng hết 8,"tensor([ 0., -1., -1.,  1.,  2., -1., -1.,  1., -1., -1.])"
75,75,"đánh giá sau 1 năm sử dụng thì 
 chơi game cực đã vì pin trâusạc nhanhhiệu năng tốt
 chụp ảnh ở mức bình thường đủ dùng để làm việc chứ không dùng vào việc sống ảo hay chụp chuyên nghiệp 
 được update phần mềm thường xuyên 
 nhược điểm lớn nhất của phần thiết kế là camera lồi quá nên bị xước
 màn hình siêu bền với gorillas 3
 điều ghét nhất ở máy này đó là wifi hay bị lag
kết đáng mua trong tầm giá này","tensor([ 0.,  2.,  1.,  1.,  0.,  0.,  2.,  0., -1., -1.])"
76,76,máy bỏ túi hay bị chụp màn hình loạn xì ngầu máy mới nhưng loa rất rè có ai bị giống mình không,"tensor([-1., -1., -1.,  1., -1., -1., -1., -1., -1., -1.])"
77,77,đừng có mua nếu ai đó đang dự định mua sản phẩm xài 12 tháng có dấu hiệu đơ máy cảm ứng lâu lâu không nhạy nói chung rất thất vọng khi mua nói trước kẻo mốt ôm hận,"tensor([-1., -1., -1.,  1.,  1.,  1., -1., -1., -1., -1.])"
78,78,"sóng sánh kém lắmgiữa đất thị trấn mà chỉ  được  23 vạch wifi vào phòng trong cách khoảng 5m mà bắt  được  3 vạch đã gửi đi hãng thẩm định pin qua đêm tắt hết ứng dụngmạng mà sáng dậy tụt 12
chơi liên quân đôi khi vẫn bị khựng lại chútđc cái màn nét","tensor([ 1., -1., -1.,  1., -1.,  1., -1.,  0., -1., -1.])"
79,79,mọi thứ đều ổn trừ đánh thức cảm ứng màn hình khi lên lúc thì không phải xài nút bấm nguồn,"tensor([-1., -1., -1.,  1.,  0., -1., -1., -1., -1., -1.])"
80,80,huawei p30 lite sẽ sở hữu màn hình 615 inch độ phân giải full hd với phần notch kiểu giọt nước tích hợp chip kirin 710 viên pin dung lượng 3240 mah hỗ trợ sạc nhanh 18w và được trang bị cụm 3 camera 20  16  2 mp,"tensor([ 2.,  2.,  2., -1., -1.,  2., -1.,  2.,  2., -1.])"
81,81,ok tất mỗi tội loa hơi nhỏ 1 tí và màn hình xem phim không mỏi mắt nhưng hình ảnh không được mượt cho lắm  còn chíp thì antutu  được  288k điểm mạnh  hơn hẳn 730g,"tensor([-1., -1., -1.,  1.,  0.,  0., -1.,  1., -1., -1.])"
82,82,mình cảm thấy oppo không mượt như quảng cáo máy mình sử dụng bị lỗi ứng dụng sau 15 ngày và phải đổi máy khác chụp hình mặt như bị sưng không đẹp không đáng bỏ ra gần 13 triệu,"tensor([-1., -1.,  1., -1., -1.,  1.,  1., -1.,  1., -1.])"
83,83,tôi rất thích sản phẩm này với tâm già 8990 khó có còn nào lại nó vẻ ngoài hình lẫn chức năng,"tensor([-1., -1.,  0., -1.,  0., -1.,  2., -1., -1., -1.])"
84,84,pin tuột hơi bị nhanh đấy chỉ lướt facebook bật tiết kiệm pin mà có 10p từ 90 còn 84  cảm biến vâng tay tạm thôi  chụp hình đẹp chỉ không hài lòng về pin của con này thôi bù lại sạc nhanh nên cũng đỡ,"tensor([ 2.,  0., -1.,  2., -1., -1., -1., -1., -1., -1.])"
85,85,cảm nhận của mình khi sử dụng a70 thật sự quá tốt mình cũng sợ lỗi này nó khi tham khảm nhiều ý kiến nhưng khi mua rồi thật sự không có gì để chê trách pin trâu màn đẹp xem phim chơi game rất thích đặc biệt viền bezel của máy rất mỏng ae nào còn lăng tăng hay vẫn tham khảm thì mình nói thật nên mua mà trải nghiệm mới biết được máy như thế nào đâu phải một máy lỗi là tất cả đều bị lỗi đâu riêng mình đánh giá emnày rất tốt so với tầm tiền này bỏ ra nhé,"tensor([ 0., -1., -1., -1.,  0.,  0.,  2.,  0., -1., -1.])"
86,86,máy ok chỉ có hơi thất vọng về pin và không có tấm dán màn zin dùng tấm dán film cảm giác không mượt thái độ phục vụ rất tốt cho 4,"tensor([ 1., -1., -1., -1.,  0., -1., -1., -1.,  2., -1.])"
87,87,máy mới nghe gọi to rõ ok  nhân viên tgdd rất nhiệt tình rất thích máy tuy nghệ gọi những đây đủ chức năng nghe nhạc to khá hay,"tensor([-1., -1., -1.,  0., -1., -1., -1., -1.,  0., -1.])"
88,88,máy dùng ok pin trâu nhân viên tư vấn nhiệt tình chất lượng đúng với giá thành,"tensor([ 0., -1., -1., -1.,  0., -1.,  2., -1.,  0., -1.])"
89,89,quá ngon mọi người ơi ủng hộ bác vượng đi nào v  pin trâu mượt mà nhiều tính năng thú vị đặc biệt là trả lời tin nhắn nhanh như trên wp 10,"tensor([ 0., -1., -1.,  0.,  0., -1., -1., -1.,  0., -1.])"
90,90,"dùng được 3 ngày mọi trải nghiệm tuyệt vời pin ổn màn hình rất tốt không hề xấu hay rổ
duy nhất khoảng chụp ảnh xóa phông vật thể làm chưa tốt chắc do thiếu camera tele","tensor([ 0.,  1., -1., -1.,  0., -1., -1.,  0., -1., -1.])"
91,91,điện thoại mọi thứ đều ổn  chỉ có cảm biến vân tay và pin hơi tệ so với giá này !,"tensor([ 1., -1., -1.,  1.,  0., -1., -1., -1., -1., -1.])"
92,92,"ngày đầu mua về là đã bị lỗi mở mạng bị đơ 
dag nhắn tin hoặc đang xem youtube facebook lướt nhảy out là ngoài nhiều lần như vậy ai cũng nói màng amoled đẹp thấy chả có gì là đẹp  chụp hình thì tệ xấu nhất là gọi video   thua xa con oppo f7 nửa ai mà mua nhu cầu chụp hình thì đừng mua dòng này  bin 4015  cũng như bằng 3600 của f7 thôi chỉ  được  cái sax nhanh và đã đem đi đỗi","tensor([ 2.,  1., -1., -1.,  1.,  1., -1.,  1., -1., -1.])"
93,93,mới mua được hơn 1 tháng màn hình bị lỗi có 1 chấm xanh trên màn hình cảm ứng hơi đơ loa hơi rè rè mình sẽ đến điện máy xanh để bảo hành màn hìnhquá buồn cho một cái giá cao mà đổi lại không hài lòng cảm thấy hối hận khi mua máy,"tensor([-1., -1., -1.,  1.,  1., -1.,  1.,  1., -1., -1.])"
94,94,"máy bị lỗi kết nối bluetooth đã đổi máy mới nhưng vẫn bị tình trạng kết nối chập chờn 
chưa bao giờ xài samsung mà lại ko  hài hài lòng như bây giờ","tensor([-1., -1., -1.,  1., -1., -1., -1., -1.,  1., -1.])"
95,95,điện thoại khá tốt pin trâu khá mượt bắt wifi cực tốt chỉ là thỉnh thoảng máy bị đơ phải thoát ra vào lại và máy không cập nhật lên miul 12,"tensor([ 0., -1., -1.,  0.,  0.,  2., -1., -1., -1., -1.])"
96,96,lúc trước nghe bảo điện thoại chơi game nóng nhưng mua về chiến liên quân 3 4h liên tục thì chỉ thấy ấm không nóng như lời đồn những thứ khác thì vũng chẳng có gì để nói vì quá ngon rồi,"tensor([-1., -1., -1., -1.,  0.,  2., -1., -1., -1., -1.])"
97,97,"1 máy nếu không chơi game lướt web ít sử dụng thì giữ pin cao nhất được khoảng 1 ngày 16 tiếng  tính luôn cả lúc ngủ nhé vì khi ngủ thì chẳng động gì tới   không được 2 ngày như mn nói đâu 
2 nhạc nghe cứ cà giật cà giật rất khó chịu luôn
3 quay video bị mờ chán 
còn lại  ok  ","tensor([ 2.,  1., -1.,  1.,  0., -1., -1., -1., -1., -1.])"
98,98,nói chung là khá ổn với mức giá đó có nhược điểm là selfie 80 mà như 50 vậy  k lấy  được  nét chuẩn như con a5s,"tensor([-1.,  1., -1., -1.,  0., -1.,  2., -1., -1., -1.])"
